topic,id,text
alonso,1552936201882963968,@F1 @alo_oficial Happy Birthday fella 🥳 when I got my PS2 I bought F1 2005 🤩 and I was unbeatable as you in full ra… https://t.co/EYEPuouiD7
alonso,1552935913663172610,"@F1 @alo_oficial Feliz cumpleaños máquinaa, hoy Hungría victoriia"
alonso,1552935870365310981,@F1 @alo_oficial Happy 60th Birthday!!!
alonso,1552935829722611712,@F1 @alo_oficial Always nice to share my birthday with you legend 🇪🇸🥳
alonso,1552935762978562048,@F1 @alo_oficial My birthday Buddy!💪🏼💪🏼
alonso,1552934575860596736,@F1 @alo_oficial Happy Birthday to the best driver 🎉
alonso,1552934550120153088,@F1 @alo_oficial Happy birtsday
alonso,1552934162926948352,@F1 @alo_oficial Mini heart attack seeing posters on F1 accounts these days
alonso,1552934146011729920,@F1 @alo_oficial HBD to the toughest driver🤣
alonso,1552934040780451840,@F1 @alo_oficial Está hecho un chaval
alonso,1552933949349003264,@F1 @alo_oficial Felicidades al campeón de campeones @alo_oficial 💙💛🇪🇦 https://t.co/zmR7SVRdEU
alonso,1552933518589792256,"@F1 @alo_oficial QUE GRANDE ERES, MAGIC!!!"
alonso,1552933517914525697,@F1 @alo_oficial Happy birthday Nando 😂 👊🏾
alonso,1552933460851019780,@F1 @alo_oficial Happy birthday!  Don't you dare to leave us aswell!
alonso,1552933386519453699,@F1 @alo_oficial Is this the big 100?
alonso,1552933214641160192,@F1 @alo_oficial Happy birthday 🎂
alonso,1552933065717997569,@F1 @alo_oficial Feliz cumpleaños Fernando!
alonso,1552932956221612035,@F1 @alo_oficial The G.O.A.T 🐐👑
alonso,1552932904262590464,@F1 @alo_oficial Happiest of Birthdays @alo_oficial 🎉💙
alonso,1552932683621212161,"@F1 @alo_oficial Happy Birthday Fernando, hope you get your contract extension soon"
alonso,1552932674796396546,@F1 @alo_oficial Happy Birthday legend!
alonso,1552932569775226885,@F1 @alo_oficial Felicidades Fernando!! Gracias por todo lo que nos estás dando. Mucha suerte para este fin de sema… https://t.co/lAf0aFby66
alonso,1552932544382910464,"@F1 @alo_oficial Happy birthday, @alo_oficial! 🥳"
alonso,1552932381182533635,@F1 @alo_oficial Happy Birthday to the BOSS 🏎💨💙💛❤️
alonso,1552932290782789638,@F1 @alo_oficial The most complete driver that I've ever seen. THE BEST F1 DRIVER!! https://t.co/X2G3R5w3Wq
alonso,1552932279265239042,@F1 @alo_oficial Feliz cumpleaños padre https://t.co/k7oAlgti5X
alonso,1552932268380811264,@F1 @alo_oficial Fernando I’m-old-o
alonso,1552932165779968000,"@F1 @alo_oficial Happy Birthday, padre!"
alonso,1552932162697105410,"@F1 @alo_oficial ¡feliz cumpleaños, alonso!"
alonso,1552932075736633344,@F1 @alo_oficial 🥳🥳🥳🥳 happy birthday fernando have a great day mate
alonso,1552931815404589056,@F1 @alo_oficial WAIT ME AND NANDO SHARE A BIRTHDAY BAHAHAHA
alonso,1552931810107334657,@F1 @alo_oficial ¡Su forma de conducir nunca ha dejado de fascinarme! Esperamos que siga participando en muchas más… https://t.co/MdaqHKmLyt
alonso,1552931428320641025,@F1 @alo_oficial Padre
alonso,1552931168894722050,"@F1 @alo_oficial The number of F1 drivers out of 7.4 billion people on the planet is very very TINY.  Privileged, h… https://t.co/inZfZEZvRD"
alonso,1552931028410531846,@F1 @alo_oficial Happy Birthday Alonso have a great day
alonso,1552930750655348736,@F1 @alo_oficial Happy birthday Fernando 🎂🎉
alonso,1552930724336078848,@F1 @alo_oficial Happy birthday to the best driver f1 has seen https://t.co/5EYW2m2HPs
alonso,1552930086541611009,@F1 @alo_oficial The boss
alonso,1552929902667636736,@F1 @alo_oficial Goat
alonso,1552929629211709447,@F1 @alo_oficial Alonso is proving the excuse that Schumacher was too old on his return false. Micheal just got to… https://t.co/sA1xHSbKgj
alonso,1552929507862011904,@F1 @alo_oficial happy birthday fernando https://t.co/Te7oReIOL0
alonso,1552929271437578243,"@F1 @alo_oficial Happy birthday, Fernando!🥳🍾🙌 Good luck this week."
alonso,1552929059499257856,@F1 @alo_oficial ❤❤❤🎂🎂🎂🍷🍷🍷🎂🎂🎂♥️♥️♥️
alonso,1552928958685106177,@F1 @alo_oficial Alonso is the GOAT. The best driver on the grid for well over a decade.  https://t.co/sBRrWKqhKc
alonso,1552928934307708928,@F1 @alo_oficial Still better driver than hamilton
alonso,1552928860177666048,@F1 @alo_oficial Happy Birthday! @alo_oficial
alonso,1552928834135044096,@F1 @alo_oficial GOAT
alonso,1552928805794217985,"@F1 @alo_oficial Happy Birthday, Legend! 💙https://t.co/zrEeFSKTg2"
alonso,1552928780083159040,@F1 @alo_oficial Huele a finde histórico en el Hungaroring🤩🤩
alonso,1552928754481172480,@F1 @alo_oficial Grande Alonso. 👏👏👏
alonso,1552928701230325763,@F1 @alo_oficial goat
alonso,1552928643340541952,@F1 @alo_oficial Birthday Twin!
alonso,1552928591050063874,@F1 @alo_oficial https://t.co/dgpVzyn8sO
alonso,1552928587711406080,@F1 @TheReal_Mark_N @alo_oficial Happy birthday fernando.have a very special day. https://t.co/oDPfgj9iOv
alonso,1552928560490237952,@F1 @alo_oficial https://t.co/eT7V8vOyDm
alonso,1552928532673843200,@F1 @alo_oficial His career (so far 😉) 🏆 2x WDC  🎯 96 podiums 🔥 32 wins 🇪🇸 3x winner at his home race (Barcelona an… https://t.co/f0PagVpCfT
alonso,1552928486477766656,@F1 @alo_oficial Happy birthday legend  I share my bday with a legend 🤘
alonso,1552928473316048896,@F1 @alo_oficial Celebrate with p1 in Hungary ;)
alonso,1552928454940704769,@F1 @alo_oficial The BEST 🐐 https://t.co/TGWYDJM4ky
alonso,1552928433839214592,@F1 @alo_oficial https://t.co/8I47i6sLT9
alonso,1552928420450816000,@F1 @alo_oficial Better than Lappedmilton
alonso,1552928394475704323,@F1 @alo_oficial Greatest of all time
alonso,1552928278754869249,@F1 @alo_oficial Congrats to one of the best drivers ever🙌
alonso,1552927928219947008,@F1 @alo_oficial 头哥生日快乐！😍
alonso,1552927826608889856,@F1 @alo_oficial youngest driver on the grid 😍😍
alonso,1552927797013798912,@F1 @alo_oficial ANNOUNCE HIS BIRTHDAY WITH 2 YEAR ALPINE EXTENSION
alonso,1552927794023235588,@F1 @alo_oficial Happy birthday to the greatest f1 driver of all time
alonso,1552927717707812864,@F1 @alo_oficial clear of Sebastian Retirement Home
alonso,1552927706219945984,@F1 @alo_oficial Hopefully next year will not be last for him.
alonso,1552927671826407425,@F1 @alo_oficial Happy birthday Fernando! 🥳 My birthday is also today🥰
alonso,1552927555921100800,@F1 @alo_oficial Father
alonso,1552927509536280578,@F1 @alo_oficial Greatest of all time https://t.co/VF1dw6CiD6
alonso,1552927475096748035,@F1 @alo_oficial https://t.co/avdumx1q0X
alonso,1552927390698962944,@F1 @alo_oficial Announce retirement grandpa. Time to play ⛳️Mr. Alonslow.
alonso,1552927373674385408,@F1 @alo_oficial 👍♥️ https://t.co/lSzPw4tfcP
alonso,1552927371719692288,@F1 @alo_oficial I hope you retire soon 🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏
alonso,1552927309006602241,"@F1 @alo_oficial Come on, don't be shy, mention his age. Go on."
alonso,1552927260218658821,@F1 @alo_oficial Qué Grande Eres Magic!
alonso,1552927134548631553,@F1 @alo_oficial GOAT
alonso,1552927131151253506,"@F1 @alo_oficial Better than FRAUDmilton, but that's not hard"
alonso,1552927126441041920,@F1 @alo_oficial He's already celebrating: https://t.co/S473OwLwHL
alonso,1552926988314284033,@F1 @alo_oficial fathered by baby hamilton 😭
alonso,1552926985252470785,@F1 @alo_oficial https://t.co/m1tGRnxLFt
alonso,1552926929862373377,@F1 @alo_oficial I love you padre
alonso,1552926928595783683,@F1 @alo_oficial El Birthday 🎂
alonso,1552926925840056321,@F1 @alo_oficial HAPPY BIRTHDAY MR. FERNANDO ALONSO.
alonso,1552926912611229696,@F1 @alo_oficial El nano😎
alonso,1552926868533399552,@F1 @alo_oficial The greatest of all time. https://t.co/nXk93Es0Yd
alonso,1552926830381899776,@F1 @alo_oficial EL NANOOO
alonso,1552926788996567042,@F1 @alo_oficial Happy Birth Day Nando.
alonso,1552926783665741824,@F1 @alo_oficial Se viene el 99 y se la pela
alonso,1552926775725867009,@F1 @alo_oficial Hamilton lucky podium this week ?
alonso,1552926774803288064,@F1 @alo_oficial LEGEND 🇪🇸🇪🇸🇪🇸🐐🐐🐐🐐
alonso,1552926716129165312,@F1 @alo_oficial This is why Fernando Alonso is the greatest of all time   https://t.co/H9Ob1N5Iqu
alonso,1552926699356037120,@F1 @alo_oficial THIS IS WHY FERNANDO ALONSO IS THE GREATEST OF ALL TIME #Alonso41
alonso,1552926690376142848,@F1 @alo_oficial Padrazo
alonso,1552926684055277568,@F1 @alo_oficial 41 years and still fathering legends and rookies
alonso,1552926682788544513,@F1 @alo_oficial He’s finished
alonso,1552926682402770944,@F1 @alo_oficial The GOAT 🐐🐐🐐
alonso,1552926669010345984,@F1 @alo_oficial #Alonso41 https://t.co/eNh7AsiS7z
alonso,1552926640820424704,@F1 @alo_oficial This is why Fernando Alonso is the Greatest Of All Time 🐐 https://t.co/QoVSqPuc2V
alonso,1552926631773315072,@F1 @alo_oficial HAPPY BIRTHDAY PADRE!
alonso,1552926618678468609,@F1 @alo_oficial feliz cumpleaños 🥳
alonso,1552926615306387456,@F1 @alo_oficial Padre
alonso,1552926598902362112,"@F1 @alo_oficial Happy birthday, Champ!🏆🏆"
alonso,1552926577553457152,@F1 @alo_oficial Best hands in history
alonso,1552926572121841665,@F1 @alo_oficial 🤟
alonso,1552926562974019585,@F1 @alo_oficial Happy birthday Om Alonso
alonso,1552926544573652992,@F1 @alo_oficial Then there was 2… https://t.co/YuFtYI2uGK
alonso,1552926534297686017,@F1 @alo_oficial Alonso &gt; Vettel.
alonso,1552926518812508162,@F1 @alo_oficial Happy birthday Legend 🎊
alonso,1552926499455516673,@F1 @alo_oficial ❤️❤️❤️❤️
alonso,1552926486054699009,@F1 @alo_oficial better than vettel
alonso,1552926485215952896,@F1 @alo_oficial El Birtho
alonso,1552926478345838592,@F1 @alo_oficial https://t.co/mrDyZg0HhK
alonso,1552926474507882496,@F1 @alo_oficial El Padre
