topic,id,text
[None],1552928591050063874,@F1 @alo_oficial https://t.co/dgpVzyn8sO
[None],1552928587711406080,@F1 @TheReal_Mark_N @alo_oficial Happy birthday fernando.have a very special day. https://t.co/oDPfgj9iOv
[None],1552928560490237952,@F1 @alo_oficial https://t.co/eT7V8vOyDm
[None],1552928532673843200,@F1 @alo_oficial His career (so far 😉) 🏆 2x WDC  🎯 96 podiums 🔥 32 wins 🇪🇸 3x winner at his home race (Barcelona an… https://t.co/f0PagVpCfT
[None],1552928486477766656,@F1 @alo_oficial Happy birthday legend  I share my bday with a legend 🤘
[None],1552928473316048896,@F1 @alo_oficial Celebrate with p1 in Hungary ;)
[None],1552928454940704769,@F1 @alo_oficial The BEST 🐐 https://t.co/TGWYDJM4ky
[None],1552928433839214592,@F1 @alo_oficial https://t.co/8I47i6sLT9
[None],1552928420450816000,@F1 @alo_oficial Better than Lappedmilton
[None],1552928394475704323,@F1 @alo_oficial Greatest of all time
[None],1552928278754869249,@F1 @alo_oficial Congrats to one of the best drivers ever🙌
[None],1552927928219947008,@F1 @alo_oficial 头哥生日快乐！😍
[None],1552927826608889856,@F1 @alo_oficial youngest driver on the grid 😍😍
[None],1552927797013798912,@F1 @alo_oficial ANNOUNCE HIS BIRTHDAY WITH 2 YEAR ALPINE EXTENSION
[None],1552927794023235588,@F1 @alo_oficial Happy birthday to the greatest f1 driver of all time
['vettel'],1552927717707812864,@F1 @alo_oficial clear of Sebastian Retirement Home
[None],1552927706219945984,@F1 @alo_oficial Hopefully next year will not be last for him.
['alonso'],1552927671826407425,@F1 @alo_oficial Happy birthday Fernando! 🥳 My birthday is also today🥰
[None],1552927555921100800,@F1 @alo_oficial Father
[None],1552927509536280578,@F1 @alo_oficial Greatest of all time https://t.co/VF1dw6CiD6
[None],1552927475096748035,@F1 @alo_oficial https://t.co/avdumx1q0X
[None],1552927390698962944,@F1 @alo_oficial Announce retirement grandpa. Time to play ⛳️Mr. Alonslow.
[None],1552927373674385408,@F1 @alo_oficial 👍♥️ https://t.co/lSzPw4tfcP
[None],1552927371719692288,@F1 @alo_oficial I hope you retire soon 🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏
[None],1552927309006602241,"@F1 @alo_oficial Come on, don't be shy, mention his age. Go on."
[None],1552927260218658821,@F1 @alo_oficial Qué Grande Eres Magic!
[None],1552927134548631553,@F1 @alo_oficial GOAT
[None],1552927131151253506,"@F1 @alo_oficial Better than FRAUDmilton, but that's not hard"
[None],1552927126441041920,@F1 @alo_oficial He's already celebrating: https://t.co/S473OwLwHL
['hamilton'],1552926988314284033,@F1 @alo_oficial fathered by baby hamilton 😭
[None],1552926985252470785,@F1 @alo_oficial https://t.co/m1tGRnxLFt
[None],1552926929862373377,@F1 @alo_oficial I love you padre
[None],1552926928595783683,@F1 @alo_oficial El Birthday 🎂
['alonso'],1552926925840056321,@F1 @alo_oficial HAPPY BIRTHDAY MR. FERNANDO ALONSO.
[None],1552926912611229696,@F1 @alo_oficial El nano😎
[None],1552926868533399552,@F1 @alo_oficial The greatest of all time. https://t.co/nXk93Es0Yd
[None],1552926830381899776,@F1 @alo_oficial EL NANOOO
['alonso'],1552926788996567042,@F1 @alo_oficial Happy Birth Day Nando.
[None],1552926783665741824,@F1 @alo_oficial Se viene el 99 y se la pela
['hamilton'],1552926775725867009,@F1 @alo_oficial Hamilton lucky podium this week ?
[None],1552926774803288064,@F1 @alo_oficial LEGEND 🇪🇸🇪🇸🇪🇸🐐🐐🐐🐐
['alonso'],1552926716129165312,@F1 @alo_oficial This is why Fernando Alonso is the greatest of all time   https://t.co/H9Ob1N5Iqu
['alonso'],1552926699356037120,@F1 @alo_oficial THIS IS WHY FERNANDO ALONSO IS THE GREATEST OF ALL TIME #Alonso41
[None],1552926690376142848,@F1 @alo_oficial Padrazo
[None],1552926684055277568,@F1 @alo_oficial 41 years and still fathering legends and rookies
[None],1552926682788544513,@F1 @alo_oficial He’s finished
[None],1552926682402770944,@F1 @alo_oficial The GOAT 🐐🐐🐐
['alonso'],1552926669010345984,@F1 @alo_oficial #Alonso41 https://t.co/eNh7AsiS7z
['alonso'],1552926640820424704,@F1 @alo_oficial This is why Fernando Alonso is the Greatest Of All Time 🐐 https://t.co/QoVSqPuc2V
[None],1552926631773315072,@F1 @alo_oficial HAPPY BIRTHDAY PADRE!
[None],1552926618678468609,@F1 @alo_oficial feliz cumpleaños 🥳
[None],1552926615306387456,@F1 @alo_oficial Padre
[None],1552926598902362112,"@F1 @alo_oficial Happy birthday, Champ!🏆🏆"
[None],1552926577553457152,@F1 @alo_oficial Best hands in history
[None],1552926572121841665,@F1 @alo_oficial 🤟
['alonso'],1552926562974019585,@F1 @alo_oficial Happy birthday Om Alonso
[None],1552926544573652992,@F1 @alo_oficial Then there was 2… https://t.co/YuFtYI2uGK
"['alonso', 'vettel']",1552926534297686017,@F1 @alo_oficial Alonso &gt; Vettel.
[None],1552926518812508162,@F1 @alo_oficial Happy birthday Legend 🎊
[None],1552926499455516673,@F1 @alo_oficial ❤️❤️❤️❤️
['vettel'],1552926486054699009,@F1 @alo_oficial better than vettel
[None],1552926485215952896,@F1 @alo_oficial El Birtho
[None],1552926478345838592,@F1 @alo_oficial https://t.co/mrDyZg0HhK
[None],1552926474507882496,@F1 @alo_oficial El Padre
